Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J0002+6216,117.327,-0.074,0.74238,62.26928,0.115363568,5.97E-15,8.668247827,-4.48E-13,*,6.357,3.06E+05
J0006+1834,108.172,-42.985,1.52,18.5831,0.69374767,2.10E-15,1.441446282,-4.36E-15,*,0.86,5.24E+06
J0007+7303,119.66,10.463,1.7571,73.0521,0.315873191,3.60E-13,3.165827392,-3.61E-12,4.10E-23,1.4,1.39E+04
J0011+08,106.228,-53.407,2.9,8.17,2.55287,*,0.391716,*,*,5.399,*
J0012+5431,117.231,-7.909,3.0971,54.5297,3.02530071,1.28E-16,0.330545653,-1.40E-17,*,5.425,3.74E+08
J0014+4746,116.497,-14.631,3.57396,47.77594,1.240699039,5.64E-16,0.805997239,-3.67E-16,7.30E-28,1.776,3.48E+07
J0021-0909,100.291,-70.726,5.46446,-9.1663,2.314130829,1.04E-15,0.432127686,-1.94E-16,*,25,3.53E+07
J0023+0923,111.383,-52.849,5.82032291,9.38996121,0.003050203,1.14E-20,327.8470206,-1.23E-15,*,1.818,4.23E+09
J0024-7204aa,305.895,-44.889,6.02363,-72.08128,0.00184,*,543.478261,*,*,4.521,*
J0024-7204ab,305.891,-44.891,6.034006,-72.0798894,0.003704639,9.82E-21,269.9317981,-7.16E-16,-8.00E-27,4.521,5.98E+09
J0024-7204ac,305.898,-44.902,6.02363,-72.06806,0.00274,*,364.963504,*,*,4.521,*
J0024-7204ad,305.898,-44.902,6.02363,-72.06806,0.00374,*,267.379679,*,*,4.521,*
J0024-7204C,305.923,-44.892,5.9598108,-72.075418,0.00575678,-4.99E-20,173.708219,1.50E-15,1.30E-27,4.521,*
J0024-7204D,305.881,-44.893,6.0578372,-72.07884789,0.005357573,-3.42E-21,186.6516699,1.19E-16,-1.20E-27,4.521,*
J0024-7204E,305.883,-44.883,6.046272,-72.08893033,0.003536329,9.85E-20,282.779107,-7.88E-15,2.90E-27,4.521,5.69E+08
J0024-7204F,305.899,-44.892,6.0160645,-72.07856064,0.002623579,6.45E-20,381.1586637,-9.37E-15,6.80E-27,4.521,6.44E+08
J0024-7204G,305.891,-44.893,6.0331679,-72.07769528,0.004040379,-4.22E-20,247.5015251,2.58E-15,6.00E-27,4.521,*
J0024-7204H,305.896,-44.902,6.02793,-72.06855742,0.003210341,-1.83E-21,311.4934178,1.78E-16,1.60E-25,4.521,*
J0024-7204I,305.892,-44.893,6.0330612,-72.07768931,0.003484992,-4.59E-20,286.9446995,3.78E-15,-3.35E-26,4.521,*
J0024-7204J,305.909,-44.903,5.9975321,-72.06633078,0.002100634,-9.79E-21,476.0468584,2.22E-15,2.00E-26,4.521,*
