Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz),dF1 (Hz/s)
J0007+7303,J0007+7303,1,54953.0,X,554.0,1,1.0,0.1,119.66,10.463,1.7571,73.0521,0.315873191,3.60E-13,3.165827392,-3.61e-12,4.10E-23,1.4,1.39E+04,1753.868375168,-3.61e-12
4U_0142+61,J0146+6145,1,51141.0,248,650.0,150,14.0,5,129.384,-0.431,26.5934,61.750780000000006,8.6889941,1.99E-12,0.115088121,-2.64e-14,*,3.6,6.91E+04,74.80727865,-3.696e-13
4U_0142+61,J0146+6145,2,53809.0,X,1627.0,348,11.6,0.4,129.384,-0.431,26.5934,61.750780000000006,8.6889941,1.99E-12,0.115088121,-2.64e-14,*,3.6,6.91E+04,187.248372867,-3.0623999999999997e-13
B0144+59,J0147+5922,1,53682.0,15,0.056,0.003,-0.21,0.05,130.059,-2.7230000000000003,26.9360142,59.3675789,0.196321375,2.57E-16,5.093688845,-6.66e-15,3.39E-26,2.128,1.21E+07,0.28524657532000003,1.3985999999999999e-15
B0154+61,J0157+6212,1,48512.0,5,4.0,1,-11.0,6,130.586,0.326,29.458097499999997,62.2074022,2.351744936,1.89E-13,0.425216181,-3.42e-14,*,1.786,1.97E+05,1.700864724,3.762e-13
J0205+6449,J0205+6449,1,52555.0,8,340.0,110,5.0,1,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,5173.783706,-2.245e-10
J0205+6449,J0205+6449,2,52920.0,72,3800.0,400,12.0,1,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,57824.64142,-5.388e-10
J0205+6449,J0205+6449,3,54907.0,18,1761.0,7,12.0,2,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,26797.1561949,-5.388e-10
J0205+6449,J0205+6449,4,55719.0,10,126.0,5,3.0,1,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,1917.3433734,-1.347e-10
J0205+6449,J0205+6449,5,55836.0,5,2933.0,5,13.0,1,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,44631.4929697,-5.837000000000001e-10
J0205+6449,J0205+6449,6,56854.0,28,84.0,14,3.0,2,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,1278.2289156,-1.347e-10
J0205+6449,J0205+6449,7,57345.0,12,527.0,7,5.0,1,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,8019.3647443,-2.245e-10
